CARRIER|ORIGIN|REGION,Sum,Count,Mean
M6|GND|L,18420.000000,12,1535.000000
M6|SCL|L,9687.000000,2,4843.500000
M6|EIL|D,3396.000000,1,3396.000000
M6|SXM|L,2448.000000,2,1224.000000
M6|GUA|L,1017.000000,1,1017.000000
M6|RFD|L,1293.000000,1,1293.000000
M6|PAP|L,5817.000000,9,646.333333
M6|JFK|D,1089.000000,1,1089.000000
M6|SKB|L,8086.000000,8,1010.750000
SEB|SPB|D,129.000000,3,43.000000
M6|NGU|L,21115.000000,15,1407.666667
M6|RZE|L,13426.000000,3,4475.333333
M6|WRI|D,231.000000,1,231.000000
M6|MEX|L,2552.000000,2,1276.000000
M6|EWR|D,17715.000000,17,1042.058824
M6|DOV|L,60647.000000,18,3369.277778
M6|BFM|D,2316.000000,4,579.000000
M6|NGU|D,15813.000000,18,878.500000
AA|YYT|D,2386.000000,2,1193.000000
9K|AUG|D,1776.000000,12,148.000000
AA|NCE|A,40572.000000,10,4057.200000
AA|SCL|L,113076.000000,26,4349.076923
AA|LIS|A,51870.000000,15,3458.000000
AA|DOH|A,114323.000000,17,6724.882353
5X|IAD|D,10824.000000,24,451.000000
5X|YHM|D,5980.000000,13,460.000000
5X|SWF|D,17219.000000,35,491.971429
5X|LCK|D,6811.000000,27,252.259259
FX|YMX|D,26277.000000,28,938.464286
FX|RSW|D,10687.000000,16,667.937500
HA|HNL|P,435330.000000,114,3818.684211
FX|SFO|D,23828.000000,14,1702.000000
FX|SNA|D,20397.000000,14,1456.928571
FX|YOW|D,13455.000000,13,1035.000000
FX|PBI|D,14473.000000,23,629.260870
FX|HRL|D,11045.000000,18,613.611111
FX|DTW|D,32344.000000,68,475.647059
5X|CGN|A,324505.000000,80,4056.312500
AA|DUB|A,182549.000000,49,3725.489796
AA|BOS|A,67683.000000,18,3760.166667
AA|JFK|A,494866.000000,117,4229.623932
ABX|CVG|P,4178.000000,2,2089.000000
ABX|BOG|P,3012.000000,2,1506.000000
