CARRIER|ORIGIN|REGION,Sum,Count,Mean
GCA|SAL|I,47058.000000,40,1176.450000
KAH|SFO|D,684.000000,1,684.000000
G7|PQI|D,4635.000000,9,515.000000
G4|SHD|D,445.000000,1,445.000000
3S|ORD|I,64757.000000,27,2398.407407
15Q|AMS|I,7290.000000,2,3645.000000
OO|ACK|D,3696.000000,6,616.000000
09Q|SLN|D,9437.000000,9,1048.555556
ATQ|KLU|I,4425.000000,1,4425.000000
2NQ|NAS|D,552.000000,3,184.000000
2NQ|GON|D,178.000000,1,178.000000
3EQ|ROG|D,247.000000,1,247.000000
N8|BFM|D,2572.000000,2,1286.000000
VJT|BCN|I,66323.000000,15,4421.533333
WN|ORD|L,17106.000000,12,1425.500000
ALQ|EWR|I,4956.000000,1,4956.000000
G4|FTW|D,829.000000,1,829.000000
2O|AKN|D,786.000000,5,157.200000
3EQ|MEM|D,1954.000000,2,977.000000
5X|FLL|D,26068.000000,40,651.700000
AN|PHF|D,784.000000,1,784.000000
0J|YYR|I,2142.000000,2,1071.000000
3EQ|YPQ|D,559.000000,1,559.000000
L2|ICT|D,1439.000000,1,1439.000000
1ZQ|IAG|I,4137.000000,1,4137.000000
13Q|PVR|I,3812.000000,2,1906.000000
AN|MMH|D,10228.000000,36,284.111111
KAH|BOI|D,901.000000,3,300.333333
U7|TUS|D,3210.000000,3,1070.000000
3EQ|COS|D,1788.000000,3,596.000000
AN|OXR|D,618.000000,3,206.000000
C5|MOB|D,13184.000000,28,470.857143
WL|LAX|D,2991.000000,3,997.000000
04Q|UVF|D,466.000000,1,466.000000
KO|PTH|D,5076.000000,12,423.000000
AM|ATL|I,760.000000,1,760.000000
SY|ROC|D,300.000000,1,300.000000
3EQ|CLM|D,1112.000000,1,1112.000000
JCO|DFW|I,4744.000000,1,4744.000000
KE|SEA|I,198244.000000,38,5216.947368
1BQ|LAN|D,275.000000,1,275.000000
XP|CID|I,1463.000000,1,1463.000000
SWQ|IAD|I,2288.000000,1,2288.000000
DL|LGA|D,633446.000000,671,944.032787
B6|ELP|D,715.000000,1,715.000000
KAT|TOG|D,1050.000000,4,262.500000
XQQ|SNN|I,3963.000000,1,3963.000000
2AQ|NHT|I,3677.000000,1,3677.000000
GCA|AUA|I,1133.000000,1,1133.000000
GCA|BOI|D,749.000000,1,749.000000
GEQ|ZRH|I,3934.000000,1,3934.000000
04Q|CMI|D,825.000000,1,825.000000
VJT|PPT|I,32770.000000,8,4096.250000
27Q|STS|D,841.000000,2,420.500000
QK|LGA|I,17535.000000,51,343.823529
B6|AUS|D,98848.000000,69,1432.579710
YX|CVG|D,67071.000000,144,465.770833
9E|CMH|D,9748.000000,22,443.090909
XQQ|LIR|I,2198.000000,1,2198.000000
FX|BKW|D,1056.000000,12,88.000000
3EQ|KOA|D,18856.000000,8,2357.000000
27Q|TDZ|D,120.000000,1,120.000000
FX|CAE|D,11611.000000,43,270.023256
CZ|CAN|I,427617.000000,57,7502.052632
3EQ|HNL|D,38218.000000,15,2547.866667
SY|ALB|L,301.000000,1,301.000000
3EQ|FCO|D,4627.000000,1,4627.000000
3EQ|DET|D,1993.000000,1,1993.000000
24Q|OPF|I,5279.000000,1,5279.000000
36Q|BHM|I,474.000000,1,474.000000
3EQ|AXA|D,1234.000000,1,1234.000000
25Q|TEB|I,10100.000000,3,3366.666667
04Q|YQB|D,714.000000,2,357.000000
2NQ|MIA|D,205.000000,1,205.000000
LX|GVA|I,46368.000000,12,3864.000000
09Q|FTW|D,2268.000000,3,756.000000
GJQ|TIV|I,4273.000000,1,4273.000000
KLQ|ORD|D,264.000000,1,264.000000
LF|DTW|D,1490.000000,3,496.666667
L2|ENA|D,59.000000,1,59.000000
3FQ|RAC|I,418.000000,1,418.000000
M6|NLU|L,15160.000000,12,1263.333333
3EQ|CMH|D,4714.000000,4,1178.500000
F9|DTW|L,10311.000000,7,1473.000000
AN|AVW|D,425.000000,1,425.000000
OZ|SPN|I,15520.000000,8,1940.000000
3EQ|EUG|D,2091.000000,3,697.000000
K2|VAK|D,6281.000000,85,73.894118
GEQ|SJC|I,3866.000000,4,966.500000
AN|PVR|D,1092.000000,1,1092.000000
3EQ|PNE|D,689.000000,2,344.500000
MX|DSM|D,2924.000000,3,974.666667
3M|GSP|D,3396.000000,8,424.500000
SVW|EWR|I,4951.000000,1,4951.000000
27Q|TEB|I,66561.000000,30,2218.700000
27Q|SXM|I,15545.000000,9,1727.222222
04Q|CRG|D,4351.000000,19,229.000000
DL|HSV|D,10490.000000,62,169.193548
AA|LAS|D,504374.000000,400,1260.935000
13Q|SLU|I,4238.000000,2,2119.000000
EM|PHX|D,5220.000000,39,133.846154
LF|OAK|D,9670.000000,16,604.375000
WN|MCI|D,897959.000000,1052,853.573194
MX|ORH|D,1018.000000,1,1018.000000
WN|BOI|D,160651.000000,271,592.808118
3FQ|HHH|D,878.000000,1,878.000000
WGT|PPT|I,2730.000000,1,2730.000000
AZ|MIA|I,129650.000000,25,5186.000000
7S|KWK|D,2593.000000,38,68.236842
FX|BZN|D,2832.000000,24,118.000000
AN|PVU|D,1064.000000,2,532.000000
7S|PHO|D,9434.000000,40,235.850000
B6|MCI|D,15776.000000,15,1051.733333
KLQ|AFW|D,3551.000000,4,887.750000
27Q|SVD|I,7451.000000,3,2483.666667
B6|MDW|D,653.000000,1,653.000000
NK|PDX|D,112122.000000,101,1110.118812
DL|JAX|D,146680.000000,209,701.818182
FX|ILM|D,2039.000000,17,119.941176
G3|BSB|I,88512.000000,24,3688.000000
DL|AUS|A,4930.000000,1,4930.000000
IFQ|IBZ|I,3814.000000,1,3814.000000
GJQ|GOA|I,3674.000000,1,3674.000000
27Q|SCF|D,13007.000000,12,1083.916667
3FQ|AZA|D,276.000000,1,276.000000
GCA|AGS|D,471.000000,1,471.000000
AA|MHT|D,3352.000000,5,670.400000
7S|SVW|D,187.000000,1,187.000000
GJQ|MAD|I,3249.000000,1,3249.000000
VJT|PMC|I,5517.000000,1,5517.000000
3EQ|GCK|D,550.000000,1,550.000000
UA|LIR|L,252300.000000,121,2085.123967
AA|LCH|D,254.000000,2,127.000000
G4|FAR|D,97179.000000,79,1230.113924
SWQ|RSW|I,1087.000000,1,1087.000000
7S|FAI|D,6514.000000,23,283.217391
3EQ|PGL|D,1104.000000,1,1104.000000
2NQ|MTP|D,553.000000,6,92.166667
OO|ABR|D,8896.000000,32,278.000000
3EQ|AL6|D,207.000000,1,207.000000
S2|GUM|D,6034.000000,74,81.540541
SY|SEA|D,56161.000000,54,1040.018519
3M|HSV|D,2675.000000,5,535.000000
NC|RNO|I,1202.000000,2,601.000000
PTQ|BWI|I,7258.000000,2,3629.000000
GJQ|SNN|I,5793.000000,2,2896.500000
XP|LAN|D,26324.000000,20,1316.200000
NLQ|YMX|I,11149.000000,10,1114.900000
FJ|APW|I,36372.000000,14,2598.000000
AOQ|TLL|I,9341.000000,2,4670.500000
13Q|PSP|I,11720.000000,10,1172.000000
QFX|YQX|I,1104.000000,1,1104.000000
CRV|OPF|I,4052.000000,1,4052.000000
AMQ|DLH|D,2776.000000,2,1388.000000
FX|YYC|D,31527.000000,28,1125.964286
AN|FTY|D,1936.000000,1,1936.000000
G4|DTW|D,4867.000000,6,811.166667
NLQ|SAV|I,1010.000000,1,1010.000000
SQ|SFO|I,101280.000000,12,8440.000000
SQ|SIN|I,876610.000000,97,9037.216495
GCA|GTR|D,2002.000000,1,2002.000000
3EQ|OCJ|D,558.000000,1,558.000000
NLQ|FXE|I,1385.000000,1,1385.000000
DL|ATW|D,10474.000000,19,551.263158
ADB|TUS|I,4587.000000,2,2293.500000
NLQ|YHU|I,1309.000000,1,1309.000000
MQ|TUS|D,5385.000000,17,316.764706
3FQ|DAL|I,1687.000000,1,1687.000000
NC|UNK|D,10776.000000,28,384.857143
NLQ|TPA|I,2612.000000,2,1306.000000
7S|ARC|D,237.000000,1,237.000000
GCA|RSW|D,208.000000,2,104.000000
QK|MSY|I,8358.000000,6,1393.000000
NLQ|ACY|I,409.000000,1,409.000000
VJT|PPG|I,4781.000000,1,4781.000000
PTQ|LEX|I,1585.000000,2,792.500000
W8|YHZ|I,11349.000000,9,1261.000000
ABX|ORD|D,7392.000000,28,264.000000
U7|BMI|D,915.000000,3,305.000000
1BQ|FAI|D,4172.000000,2,2086.000000
7H|MSP|D,9856.000000,18,547.555556
IFQ|KEF|I,41646.000000,14,2974.714286
YR|IFP|D,72.000000,1,72.000000
SY|PNS|D,4941.000000,7,705.857143
YB|CXH|I,2292.000000,19,120.631579
8V|FBK|D,317.000000,3,105.666667
3EQ|SEA|D,693.000000,1,693.000000
27Q|5NJ|D,10.000000,1,10.000000
LF|DSI|D,1307.000000,4,326.750000
3FQ|RHI|D,1773.000000,1,1773.000000
3FQ|GSP|I,1756.000000,1,1756.000000
AA|MAF|D,3336.000000,11,303.272727
DL|LRD|L,128.000000,1,128.000000
8V|MCG|D,14237.000000,101,140.960396
15Q|YHZ|I,541.000000,1,541.000000
Y4|CUN|I,9624.000000,12,802.000000
27Q|HTO|D,385.000000,4,96.250000
FX|MIA|D,46957.000000,58,809.603448
AMQ|BIL|D,697.000000,1,697.000000
NK|ROC|D,50700.000000,50,1014.000000
MQ|BRO|D,11533.000000,25,461.320000
IFQ|SBA|I,5592.000000,1,5592.000000
IB|JFK|I,202240.000000,56,3611.428571
VJT|CLD|I,8350.000000,1,8350.000000
GV|KEK|D,2545.000000,88,28.920455
WN|BHM|D,230317.000000,326,706.493865
NIQ|AUS|I,1101.000000,1,1101.000000
U7|BUF|D,1634.000000,5,326.800000
AN|4CL|D,258.000000,2,129.000000
VJT|SWF|I,14338.000000,5,2867.600000
8V|LNI|D,193.000000,2,96.500000
8V|PHO|D,11433.000000,44,259.840909
PTQ|ZRH|I,3934.000000,1,3934.000000
AMQ|SLW|I,330.000000,2,165.000000
5X|MFE|L,119.000000,1,119.000000
AN|LMT|D,938.000000,2,469.000000
12Q|BOS|I,6890.000000,2,3445.000000
8V|WCR|D,1122.000000,6,187.000000
CRV|YYR|I,3096.000000,1,3096.000000
GV|MLL|D,6938.000000,119,58.302521
DL|PDX|D,364014.000000,315,1155.600000
VJT|DUB|I,95336.000000,22,4333.454545
KAH|LWS|D,270.000000,1,270.000000
8V|ANV|D,3972.000000,43,92.372093
HAQ|BFI|I,2059.000000,1,2059.000000
GCQ|BQH|I,4938.000000,1,4938.000000
NK|IAH|D,705555.000000,693,1018.116883
04Q|SRQ|D,9154.000000,34,269.235294
8V|ANI|D,505.000000,2,252.500000
LDQ|KEF|I,4979.000000,2,2489.500000
TEQ|AGP|I,4395.000000,1,4395.000000
VJT|DBQ|I,2333.000000,1,2333.000000
U7|MTY|I,128.000000,1,128.000000
13Q|ATL|I,1478.000000,2,739.000000
LF|DAY|D,1644.000000,5,328.800000
UA|ALB|L,143.000000,1,143.000000
09Q|LNK|D,3405.000000,4,851.250000
OO|TRI|D,1589.000000,9,176.555556
3EQ|CLE|D,2049.000000,1,2049.000000
3EQ|TPA|D,648.000000,1,648.000000
AN|SAN|D,4266.000000,10,426.600000
OO|SNA|D,24140.000000,77,313.506494
3EQ|DVT|D,636.000000,2,318.000000
27Q|BQK|D,2253.000000,1,2253.000000
AN|NUQ|D,915.000000,3,305.000000
GCA|LAF|D,11118.000000,18,617.666667
25Q|FXE|I,187.000000,1,187.000000
3EQ|TYS|D,189.000000,1,189.000000
AOQ|LIN|I,4029.000000,1,4029.000000
AN|STS|D,4843.000000,7,691.857143
FX|PWM|D,30644.000000,54,567.481481
AMQ|GRR|D,1141.000000,3,380.333333
KAH|BFI|D,31575.000000,204,154.779412
7H|PIT|I,222.000000,1,222.000000
KAT|KSM|D,442.000000,1,442.000000
G4|PIT|D,185416.000000,212,874.603774
6F|MLL|D,7231.000000,102,70.892157
1HQ|ZRH|I,3934.000000,1,3934.000000
AN|OR4|D,771.000000,1,771.000000
JRQ|ILI|D,112.000000,1,112.000000
8V|LMA|D,8391.000000,64,131.109375
AC|ORD|I,60525.000000,77,786.038961
27Q|BED|I,11983.000000,6,1997.166667
GCA|GRB|D,346.000000,1,346.000000
27Q|TLC|I,4027.000000,2,2013.500000
13Q|PHL|I,2447.000000,4,611.750000
27Q|COD|D,1785.000000,1,1785.000000
WGT|GOT|I,3787.000000,1,3787.000000
3EQ|TVL|D,1318.000000,3,439.333333
27Q|MMU|D,431.000000,3,143.666667
04Q|SSI|D,3850.000000,8,481.250000
0CQ|YVR|I,2493.000000,1,2493.000000
3EQ|LNY|D,35.000000,1,35.000000
X9|HNL|I,35456.000000,10,3545.600000
GEQ|RDU|I,3980.000000,1,3980.000000
AA|BJX|L,17514.000000,21,834.000000
LDQ|ALB|I,3932.000000,1,3932.000000
27Q|BTV|D,237.000000,1,237.000000
GJQ|PSA|I,11298.000000,3,3766.000000
AOQ|PMI|I,14040.000000,3,4680.000000
FX|EAR|D,2943.000000,22,133.772727
27Q|NAS|I,3333.000000,5,666.600000
LF|ORL|D,3939.000000,6,656.500000
AS|RDB|D,14398.000000,26,553.769231
AQX|MCI|I,4915.000000,1,4915.000000
1BQ|RMS|I,7668.000000,2,3834.000000
FX|BGR|D,2032.000000,17,119.529412
AN|APC|D,2656.000000,7,379.428571
CV|SGN|I,8673.000000,1,8673.000000
DL|RSW|L,952.000000,1,952.000000
AN|CCR|D,877.000000,2,438.500000
8V|ABL|D,3167.000000,25,126.680000
DL|DSM|D,21085.000000,34,620.147059
JCO|SAT|I,4973.000000,1,4973.000000
7S|SVA|D,2108.000000,16,131.750000
AN|PGA|D,1941.000000,4,485.250000
WN|SEA|D,325804.000000,304,1071.723684
VJT|DBB|I,11348.000000,2,5674.000000
IWQ|FXE|I,5626.000000,24,234.416667
8V|HSL|D,12618.000000,95,132.821053
X9|ELP|I,2088.000000,2,1044.000000
3EQ|SXM|D,10056.000000,4,2514.000000
CRV|BGI|I,4893.000000,3,1631.000000
2LQ|NY9|D,298.000000,1,298.000000
3EQ|SFO|D,32919.000000,40,822.975000
QFX|ANU|I,1329.000000,1,1329.000000
04Q|YMX|D,94.000000,1,94.000000
OO|CMX|D,7461.000000,22,339.136364
WL|TUS|D,1900.000000,1,1900.000000
SY|GEG|L,430.000000,1,430.000000
AN|ZLO|D,879.000000,1,879.000000
SY|YUL|L,31895.000000,37,862.027027
04Q|MA2|D,946.000000,7,135.142857
KAT|ANI|D,318.000000,1,318.000000
XP|MKC|D,2444.000000,3,814.666667
7H|MDT|D,182.000000,3,60.666667
3EQ|OPF|D,23225.000000,12,1935.416667
2AQ|LUX|I,4739.000000,1,4739.000000
VJT|SVQ|I,4307.000000,1,4307.000000
13Q|QRO|I,1444.000000,1,1444.000000
G4|BHM|D,6513.000000,8,814.125000
5V|GSP|D,6978.000000,6,1163.000000
SY|SBD|D,41628.000000,33,1261.454545
GCQ|FTY|I,57806.000000,14,4129.000000
07Q|YHU|I,544.000000,1,544.000000
27Q|IAD|I,3569.000000,2,1784.500000
9E|EYW|D,4725.000000,7,675.000000
FK|FLL|I,2175.000000,1,2175.000000
13Q|YVC|I,1048.000000,1,1048.000000
36Q|PVD|I,3037.000000,1,3037.000000
0Q|PBM|I,2702.000000,1,2702.000000
DL|DAL|D,134617.000000,161,836.130435
2O|A50|D,55.000000,1,55.000000
3EQ|RIV|D,2550.000000,1,2550.000000
VJT|EVE|I,3490.000000,1,3490.000000
1YQ|VQS|D,129.000000,5,25.800000
KAH|YLW|D,428.000000,2,214.000000
UA|SWF|D,5112.000000,6,852.000000
CRV|AMS|I,4579.000000,1,4579.000000
GEQ|ZAZ|I,15179.000000,3,5059.666667
9X|KOA|D,3095.000000,36,85.972222
YR|BCE|D,452.000000,3,150.666667
AN|TUS|D,1128.000000,5,225.600000
27Q|LBL|D,1739.000000,2,869.500000
0Q|BRU|I,7340.000000,2,3670.000000
2AQ|ANU|I,1593.000000,1,1593.000000
MX|TUL|D,3326.000000,4,831.500000
LF|FXE|D,4424.000000,7,632.000000
U7|HOU|I,2517.000000,4,629.250000
3AQ|TKA|D,382.000000,2,191.000000
04Q|MGR|D,132.000000,1,132.000000
K2|CKD|D,1707.000000,26,65.653846
36Q|BWI|I,13185.000000,4,3296.250000
AN|QAJ|D,170.000000,2,85.000000
KD|HKG|I,78394.000000,15,5226.266667
7S|MHM|D,202.000000,1,202.000000
G4|IAD|D,49343.000000,60,822.383333
27Q|GND|I,2174.000000,1,2174.000000
AN|BGT|D,384.000000,4,96.000000
W8|YMX|I,27740.000000,34,815.882353
AN|SDF|D,1990.000000,2,995.000000
15Q|PHX|I,5488.000000,1,5488.000000
TP|TER|I,2481.000000,1,2481.000000
3EQ|NAS|D,5295.000000,2,2647.500000
27Q|TOL|D,205.000000,1,205.000000
MQ|CUU|L,14770.000000,25,590.800000
B6|ONT|D,53767.000000,27,1991.370370
KE|GRK|I,1719.000000,1,1719.000000
AN|HII|D,232.000000,1,232.000000
LX|BOS|I,67470.000000,20,3373.500000
CC|ATL|I,22966.000000,6,3827.666667
AN|TKF|D,552.000000,2,276.000000
M3|PBI|I,124.000000,2,62.000000
04Q|YXU|D,503.000000,1,503.000000
AN|UT1|D,4073.000000,7,581.857143
GV|MYU|D,3753.000000,32,117.281250
2UQ|AUS|I,1513.000000,1,1513.000000
3FQ|CUN|I,553.000000,1,553.000000
ABX|LAX|D,52490.000000,58,905.000000
GV|BET|D,120371.000000,1371,87.797958
AN|SCF|D,3464.000000,6,577.333333
04Q|PNN|D,815.000000,2,407.500000
DL|DTW|D,2010055.000000,2411,833.701783
09Q|CID|D,4016.000000,8,502.000000
JRQ|KQA|D,105.000000,3,35.000000
B6|PDX|D,40472.000000,17,2380.705882
BA|ORD|I,193697.000000,49,3953.000000
5V|LCK|D,2540.000000,2,1270.000000
EDQ|RKV|I,2493.000000,1,2493.000000
24Q|NCE|I,3996.000000,1,3996.000000
5V|MLL|D,970.000000,2,485.000000
AMQ|BMI|D,14298.000000,18,794.333333
3FQ|ALB|D,132.000000,1,132.000000
LF|BKW|D,9655.000000,68,141.985294
AN|SGU|D,1817.000000,2,908.500000
3FQ|PWK|D,3916.000000,4,979.000000
V8|KOT|D,134.000000,1,134.000000
M6|LGB|D,36.000000,1,36.000000
K2|KOT|D,5366.000000,66,81.303030
27Q|LAS|D,34288.000000,30,1142.933333
XP|HOU|I,1519.000000,1,1519.000000
NK|SJU|D,479009.000000,342,1400.611111
MX|FSD|D,2930.000000,3,976.666667
OH|BHM|D,57648.000000,103,559.689320
JCO|HOU|I,1139.000000,1,1139.000000
AN|MHV|D,79.000000,1,79.000000
UA|CDG|A,426215.000000,103,4138.009709
QFX|TTN|I,265.000000,1,265.000000
VJT|DBV|I,10649.000000,2,5324.500000
NIQ|BOS|I,577.000000,1,577.000000
LF|OCF|D,423.000000,1,423.000000
X9|SUU|I,2360.000000,3,786.666667
N8|LAX|D,25113.000000,10,2511.300000
3FQ|TMB|D,7101.000000,4,1775.250000
AN|AZ3|D,1447.000000,2,723.500000
2LQ|LAL|D,350.000000,3,116.666667
N0|FCO|I,42780.000000,10,4278.000000
13Q|JFK|I,3600.000000,9,400.000000
3EQ|AST|D,872.000000,1,872.000000
SY|GPT|D,411258.000000,645,637.609302
KLQ|DCU|D,269.000000,1,269.000000
13Q|YCM|I,2654.000000,3,884.666667
13Q|OXC|I,294.000000,1,294.000000
13Q|MSP|I,2897.000000,3,965.666667
0Q|AMS|I,5578.000000,1,5578.000000
13Q|SAA|I,1390.000000,1,1390.000000
LF|LGA|D,1089.000000,1,1089.000000
GEQ|MUC|I,3664.000000,1,3664.000000
0CQ|LAS|I,5713.000000,1,5713.000000
VJT|QSR|I,14851.000000,3,4950.333333
IWQ|FPO|I,278.000000,3,92.666667
27Q|FRG|D,1794.000000,4,448.500000
KFQ|IAD|I,2594.000000,2,1297.000000
VJT|JHF|I,9494.000000,2,4747.000000
5V|AET|D,5365.000000,34,157.794118
IWQ|ASD|I,181.000000,1,181.000000
IWQ|RSD|I,530.000000,2,265.000000
GCA|PTY|I,21000.000000,12,1750.000000
HUQ|VIE|I,9875.000000,2,4937.500000
KO|ILI|D,7918.000000,40,197.950000
AN|MQY|D,1781.000000,1,1781.000000
24Q|APA|I,1704.000000,1,1704.000000
13Q|KOA|I,10896.000000,4,2724.000000
F9|JAX|D,106345.000000,113,941.106195
26Q|OPF|I,2248.000000,2,1124.000000
QFX|BUD|I,9484.000000,2,4742.000000
KAT|PIP|D,83.000000,1,83.000000
09Q|CHS|D,674.000000,1,674.000000
GV|IKO|D,2900.000000,25,116.000000
LDQ|DUB|I,3000.000000,1,3000.000000
27Q|MAE|D,26.000000,1,26.000000
8E|LUR|D,4106.000000,29,141.586207
AMQ|GSO|D,995.000000,1,995.000000
IWQ|CAT|I,640.000000,2,320.000000
LF|SAF|D,2862.000000,5,572.400000
8E|KOT|D,392.000000,4,98.000000
FX|BIS|D,3526.000000,25,141.040000
YX|DFW|D,24516.000000,25,980.640000
24Q|SXM|I,1224.000000,1,1224.000000
GCQ|LTN|I,8799.000000,2,4399.500000
G4|PAH|D,2601.000000,4,650.250000
8E|GAL|D,3863.000000,18,214.611111
4W|ARC|D,978.000000,5,195.600000
N8|LAW|D,809.000000,1,809.000000
4W|SHX|D,21.000000,1,21.000000
U7|LIT|D,9958.000000,15,663.866667
NIQ|PIE|I,4403.000000,1,4403.000000
4W|AKP|D,920.000000,5,184.000000
FX|CPR|D,28391.000000,75,378.546667
2NQ|SIG|D,875.000000,11,79.545455
4W|RBY|D,1983.000000,11,180.272727
K2|AUK|D,5827.000000,79,73.759494
EDQ|ART|I,261.000000,1,261.000000
3EQ|CCR|D,430.000000,1,430.000000
PTQ|PBI|I,55.000000,1,55.000000
GV|EEK|D,5051.000000,140,36.078571
GJQ|SFB|I,5774.000000,1,5774.000000
OH|MSY|D,35636.000000,42,848.476190
8E|SKK|D,12665.000000,136,93.125000
AI|BLR|I,112983.000000,13,8691.000000
GV|KVC|D,980.000000,22,44.545455
GV|KFP|D,1077.000000,21,51.285714
1XQ|WAW|I,4267.000000,1,4267.000000
GV|SDP|D,87.000000,1,87.000000
OH|FLO|D,99.000000,1,99.000000
09Q|MCN|D,466.000000,1,466.000000
VJT|SIN|I,15469.000000,2,7734.500000
2GQ|BDA|I,2103.000000,1,2103.000000
ADB|NUQ|I,2456.000000,1,2456.000000
GV|NLG|D,1332.000000,24,55.500000
AN|FAT|D,536.000000,2,268.000000
ZG|SFO|I,61488.000000,12,5124.000000
AM|DFW|I,7480.000000,8,935.000000
IWQ|TPA|I,1119.000000,3,373.000000
6F|ELI|D,333.000000,2,166.500000
DL|DEN|D,483913.000000,503,962.053678
27Q|GHC|I,742.000000,2,371.000000
9X|MHR|D,2371.000000,6,395.166667
6F|KKA|D,652.000000,4,163.000000
AA|MKE|D,125335.000000,147,852.619048
04Q|CT5|D,88.000000,1,88.000000
6F|KMO|D,632.000000,4,158.000000
12Q|ATL|I,4579.000000,1,4579.000000
04Q|LNS|D,2063.000000,11,187.545455
DL|AUS|L,2369.000000,3,789.666667
IB|NAS|I,184.000000,1,184.000000
LF|MQY|D,84706.000000,250,338.824000
BAS|2AK|D,90.000000,2,45.000000
4W|IRC|D,2274.000000,27,84.222222
0J|IAD|I,8316.000000,2,4158.000000
3EQ|BFL|D,9415.000000,4,2353.750000
MQ|MSO|D,24823.000000,19,1306.473684
C5|LFT|D,2907.000000,14,207.642857
LF|FLL|D,42763.000000,68,628.867647
5V|A26|D,666.000000,2,333.000000
27Q|PIE|D,133.000000,1,133.000000
AS|PHL|D,90670.000000,43,2108.604651
FX|RBG|D,2586.000000,39,66.307692
DL|CPS|D,45638.000000,65,702.123077
G4|IND|D,148063.000000,162,913.969136
K2|NME|D,3450.000000,66,52.272727
13Q|EWB|I,55.000000,1,55.000000
27Q|BGD|D,96.000000,1,96.000000
27Q|APF|D,14695.000000,15,979.666667
LF|APA|D,2215.000000,4,553.750000
QF|AKL|I,96954.000000,11,8814.000000
NC|LAX|D,35431.000000,23,1540.478261
27Q|APC|D,11344.000000,10,1134.400000
VJT|SPU|I,11192.000000,2,5596.000000
IFQ|CTS|I,6022.000000,2,3011.000000
13Q|SBM|I,647.000000,2,323.500000
27Q|CMH|D,3717.000000,4,929.250000
15Q|NCE|I,29592.000000,7,4227.428571
15Q|FAB|I,12859.000000,4,3214.750000
27Q|LIT|D,6536.000000,7,933.714286
Q5|TKJ|D,9453.000000,73,129.493151
G4|CMI|D,2670.000000,2,1335.000000
2LQ|RSD|D,1318.000000,5,263.600000
B6|TOL|D,520.000000,1,520.000000
3FQ|BFL|D,90.000000,1,90.000000
GV|KPV|D,5913.000000,65,90.969231
7S|DRF|D,84.000000,1,84.000000
LF|T4X|D,177.000000,1,177.000000
8V|HCR|D,7955.000000,58,137.155172
CM|IAD|I,59740.000000,29,2060.000000
L2|TNC|D,632.000000,1,632.000000
27Q|AGS|D,4994.000000,7,713.428571
WGT|FXE|I,164.000000,1,164.000000
U7|MKE|D,1857.000000,2,928.500000
HAQ|GTF|I,685.000000,1,685.000000
3EQ|GRO|D,4588.000000,1,4588.000000
3FQ|EUG|D,2502.000000,1,2502.000000
UA|HNL|P,89140.000000,30,2971.333333
8V|CIK|D,9107.000000,73,124.753425
AN|SJC|D,7607.000000,11,691.545455
KLQ|MEM|D,3995.000000,7,570.714286
SY|SCE|D,6576.000000,8,822.000000
27Q|STP|D,5226.000000,5,1045.200000
9E|ORD|D,3422.000000,9,380.222222
G4|BIF|D,15994.000000,12,1332.833333
27Q|SAT|D,1245.000000,3,415.000000
DL|MTJ|D,6760.000000,5,1352.000000
JCO|MCO|I,5276.000000,2,2638.000000
27Q|RST|D,546.000000,2,273.000000
8V|ANC|D,442.000000,1,442.000000
AN|WJF|D,275.000000,1,275.000000
XP|FOE|D,951.000000,1,951.000000
EDQ|BGR|I,13785.000000,7,1969.285714
YR|UXR|D,1035.000000,15,69.000000
UA|YUL|D,15234.000000,6,2539.000000
27Q|YUL|I,5063.000000,6,843.833333
OO|YQY|D,603.000000,1,603.000000
AC|LAX|I,293731.000000,163,1802.030675
WN|SDF|D,303465.000000,387,784.147287
AN|LRU|D,4360.000000,15,290.666667
7H|YVR|I,6700.000000,4,1675.000000
YV|LRU|D,46.000000,1,46.000000
HAQ|DAL|I,1194.000000,1,1194.000000
IFQ|LIN|I,15974.000000,3,5324.666667
AS|ZIH|L,104098.000000,64,1626.531250
27Q|IDA|D,1943.000000,1,1943.000000
GCA|LEX|D,7793.000000,10,779.300000
0CQ|OGG|I,100.000000,1,100.000000
K2|GNU|D,6615.000000,95,69.631579
LF|CID|D,319.000000,1,319.000000
GJQ|BGR|I,42497.000000,18,2360.944444
GCA|SNU|I,9081.000000,31,292.935484
AN|IAD|D,5458.000000,3,1819.333333
LF|SAA|D,2062.000000,2,1031.000000
27Q|FAB|I,10202.000000,3,3400.666667
W8|SAL|I,2877.000000,2,1438.500000
DL|NAP|A,26406.000000,6,4401.000000
13Q|ILG|I,1410.000000,2,705.000000
13Q|AVL|I,1003.000000,2,501.500000
FX|MAF|D,2904.000000,24,121.000000
27Q|DCA|D,4761.000000,7,680.142857
KAH|SBA|D,1000.000000,1,1000.000000
VJT|PIT|I,4280.000000,1,4280.000000
27Q|ROG|D,892.000000,2,446.000000
C5|GFK|D,1243.000000,1,1243.000000
27Q|YML|I,503.000000,1,503.000000
AQX|SJC|I,15342.000000,3,5114.000000
WGT|TAR|I,5080.000000,1,5080.000000
AMQ|RME|D,666.000000,1,666.000000
04Q|ZBF|D,446.000000,1,446.000000
3EQ|TIW|D,2880.000000,2,1440.000000
04Q|FMY|D,824.000000,5,164.800000
N3|ONT|I,4568.000000,2,2284.000000
AN|LBL|D,1004.000000,1,1004.000000
04Q|VRB|D,3132.000000,10,313.200000
