CARRIER,ORIGIN,Sum,Count,Mean
1XQ,IAD,3858.000000,1,3858.000000
1XQ,KRK,4297.000000,1,4297.000000
1XQ,LBG,33785.000000,9,3753.888889
1XQ,OPO,4107.000000,1,4107.000000
1XQ,PBI,4704.000000,1,4704.000000
1XQ,RAK,10968.000000,3,3656.000000
1XQ,TEB,37256.000000,11,3386.909091
1XQ,WAW,4267.000000,1,4267.000000
1XQ,YUL,319.000000,1,319.000000
1YQ,CPX,601.000000,17,35.352941
1YQ,EIS,192.000000,2,96.000000
1YQ,JRV,240.000000,9,26.666667
1YQ,SIG,265.000000,5,53.000000
1YQ,SJU,2944.000000,35,84.114286
1YQ,STT,572.000000,13,44.000000
1YQ,STX,605.000000,10,60.500000
1YQ,SXM,384.000000,2,192.000000
1YQ,VQS,129.000000,5,25.800000
1ZQ,BCN,4641.000000,1,4641.000000
1ZQ,BSB,4666.000000,1,4666.000000
1ZQ,BWI,4015.000000,1,4015.000000
1ZQ,DFW,5224.000000,1,5224.000000
1ZQ,EZE,5515.000000,1,5515.000000
1ZQ,HEL,5224.000000,1,5224.000000
1ZQ,IAG,4137.000000,1,4137.000000
1ZQ,PRG,4165.000000,1,4165.000000
24Q,ANU,1659.000000,1,1659.000000
24Q,APA,1704.000000,1,1704.000000
24Q,ATL,1104.000000,1,1104.000000
24Q,BGR,1134.000000,1,1134.000000
24Q,BOS,2413.000000,1,2413.000000
24Q,BZN,3338.000000,1,3338.000000
24Q,DUB,5098.000000,1,5098.000000
24Q,FAB,9110.000000,2,4555.000000
24Q,FRG,3237.000000,1,3237.000000
24Q,GSO,1716.000000,1,1716.000000
24Q,HOU,5454.000000,1,5454.000000
24Q,IAD,2528.000000,2,1264.000000
24Q,INL,1625.000000,1,1625.000000
24Q,IST,4980.000000,1,4980.000000
24Q,KEF,7424.000000,3,2474.666667
24Q,LAX,2330.000000,1,2330.000000
24Q,LBG,4584.000000,1,4584.000000
24Q,LGG,4089.000000,1,4089.000000
24Q,MXP,5274.000000,1,5274.000000
24Q,NCE,3996.000000,1,3996.000000
24Q,OLB,4192.000000,1,4192.000000
24Q,OPF,5279.000000,1,5279.000000
24Q,ORD,4823.000000,1,4823.000000
24Q,PBI,4533.000000,1,4533.000000
24Q,PDL,2568.000000,1,2568.000000
24Q,PLS,4029.000000,2,2014.500000
24Q,RDU,66.000000,1,66.000000
24Q,SFO,320.000000,1,320.000000
24Q,SJC,291.000000,1,291.000000
24Q,SNN,15841.000000,4,3960.250000
24Q,SXM,1224.000000,1,1224.000000
24Q,TEB,16481.000000,5,3296.200000
24Q,VNY,16873.000000,3,5624.333333
24Q,WAW,5875.000000,1,5875.000000
25Q,BOS,45.000000,1,45.000000
25Q,EWR,3676.000000,1,3676.000000
25Q,FOK,3574.000000,1,3574.000000
25Q,FXE,187.000000,1,187.000000
25Q,HPN,247.000000,1,247.000000
25Q,IAD,7038.000000,2,3519.000000
25Q,LAS,2171.000000,1,2171.000000
25Q,LBG,3858.000000,1,3858.000000
25Q,NAS,187.000000,1,187.000000
25Q,NCE,4007.000000,1,4007.000000
25Q,OPF,4078.000000,1,4078.000000
25Q,ORH,3785.000000,1,3785.000000
25Q,SNN,3060.000000,1,3060.000000
25Q,TEB,10100.000000,3,3366.666667
25Q,ZRH,15547.000000,4,3886.750000
26Q,BUD,4373.000000,1,4373.000000
26Q,CIA,4952.000000,1,4952.000000
26Q,CLT,3988.000000,1,3988.000000
