CARRIER|ORIGIN,PASSENGERS_Sum,PASSENGERS_Count,PASSENGERS_Mean,SEATS_Sum,SEATS_Count,SEATS_Mean,DEPARTURES_PERFORMED_Sum,DEPARTURES_PERFORMED_Count,DEPARTURES_PERFORMED_Mean
04Q|FAR,3.000000,1,3.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|FCM,2.000000,1,2.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|FDK,3.000000,2,1.500000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|FID,82.000000,18,4.555556,160.000000,18,8.888889,20.000000,18,1.111111
04Q|FL4,5.000000,1,5.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|FL7,2.000000,2,1.000000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|FLL,87.000000,20,4.350000,176.000000,20,8.800000,22.000000,20,1.100000
04Q|FME,4.000000,2,2.000000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|FMY,14.000000,5,2.800000,40.000000,5,8.000000,5.000000,5,1.000000
04Q|FOK,215.000000,61,3.524590,600.000000,61,9.836066,75.000000,61,1.229508
04Q|FPO,24.000000,7,3.428571,56.000000,7,8.000000,7.000000,7,1.000000
04Q|FPR,28.000000,8,3.500000,72.000000,8,9.000000,9.000000,8,1.125000
04Q|FPY,1.000000,1,1.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|FRG,132.000000,33,4.000000,288.000000,33,8.727273,36.000000,33,1.090909
04Q|FRY,7.000000,2,3.500000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|FXE,117.000000,28,4.178571,256.000000,28,9.142857,32.000000,28,1.142857
04Q|GAI,32.000000,9,3.555556,80.000000,9,8.888889,10.000000,9,1.111111
04Q|GBR,23.000000,7,3.285714,56.000000,7,8.000000,7.000000,7,1.000000
04Q|GED,7.000000,4,1.750000,40.000000,4,10.000000,5.000000,4,1.250000
04Q|GFL,40.000000,12,3.333333,96.000000,12,8.000000,12.000000,12,1.000000
04Q|GGT,16.000000,2,8.000000,24.000000,2,12.000000,3.000000,2,1.500000
04Q|GHB,10.000000,4,2.500000,32.000000,4,8.000000,4.000000,4,1.000000
04Q|GHC,18.000000,4,4.500000,32.000000,4,8.000000,4.000000,4,1.000000
04Q|GND,8.000000,1,8.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|GNV,23.000000,4,5.750000,40.000000,4,10.000000,5.000000,4,1.250000
04Q|GON,53.000000,18,2.944444,144.000000,18,8.000000,18.000000,18,1.000000
04Q|GSO,17.000000,3,5.666667,24.000000,3,8.000000,3.000000,3,1.000000
04Q|GTY,2.000000,1,2.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|GVQ,6.000000,1,6.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|HAO,1.000000,1,1.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|HAR,9.000000,2,4.500000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|HFD,15.000000,6,2.500000,56.000000,6,9.333333,7.000000,6,1.166667
04Q|HGR,5.000000,2,2.500000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|HHH,6.000000,1,6.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|HIE,1.000000,1,1.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|HPN,1082.000000,277,3.906137,2800.000000,277,10.108303,350.000000,277,1.263538
04Q|HTO,540.000000,142,3.802817,1504.000000,142,10.591549,188.000000,142,1.323944
04Q|HVN,53.000000,19,2.789474,152.000000,19,8.000000,19.000000,19,1.000000
04Q|HYA,125.000000,44,2.840909,392.000000,44,8.909091,49.000000,44,1.113636
04Q|HZL,5.000000,2,2.500000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|IAD,175.000000,53,3.301887,488.000000,53,9.207547,61.000000,53,1.150943
04Q|IAG,3.000000,1,3.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|ILG,44.000000,12,3.666667,96.000000,12,8.000000,12.000000,12,1.000000
04Q|IND,2.000000,2,1.000000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|INT,7.000000,3,2.333333,24.000000,3,8.000000,3.000000,3,1.000000
04Q|ISM,16.000000,3,5.333333,24.000000,3,8.000000,3.000000,3,1.000000
04Q|ISP,28.000000,10,2.800000,80.000000,10,8.000000,10.000000,10,1.000000
04Q|ITH,54.000000,20,2.700000,176.000000,20,8.800000,22.000000,20,1.100000
04Q|JAN,6.000000,2,3.000000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|JAX,28.000000,7,4.000000,56.000000,7,8.000000,7.000000,7,1.000000
04Q|JBQ,6.000000,2,3.000000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|JFK,128.000000,31,4.129032,320.000000,31,10.322581,40.000000,31,1.290323
04Q|JGG,3.000000,1,3.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|JHW,25.000000,7,3.571429,64.000000,7,9.142857,8.000000,7,1.142857
04Q|JRV,26.000000,5,5.200000,40.000000,5,8.000000,5.000000,5,1.000000
04Q|JZI,5.000000,3,1.666667,24.000000,3,8.000000,3.000000,3,1.000000
04Q|JZQ,10.000000,2,5.000000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|JZU,7.000000,2,3.500000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|LAL,20.000000,5,4.000000,40.000000,5,8.000000,5.000000,5,1.000000
04Q|LAN,2.000000,1,2.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|LBE,36.000000,8,4.500000,64.000000,8,8.000000,8.000000,8,1.000000
04Q|LCI,63.000000,22,2.863636,192.000000,22,8.727273,24.000000,22,1.090909
04Q|LDJ,3.000000,1,3.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|LEB,156.000000,46,3.391304,464.000000,46,10.086957,58.000000,46,1.260870
04Q|LEE,18.000000,6,3.000000,48.000000,6,8.000000,6.000000,6,1.000000
04Q|LEW,23.000000,6,3.833333,56.000000,6,9.333333,7.000000,6,1.166667
04Q|LEX,7.000000,3,2.333333,24.000000,3,8.000000,3.000000,3,1.000000
04Q|LGA,182.000000,47,3.872340,456.000000,47,9.702128,57.000000,47,1.212766
04Q|LKP,29.000000,8,3.625000,72.000000,8,9.000000,9.000000,8,1.125000
04Q|LLY,7.000000,4,1.750000,40.000000,4,10.000000,5.000000,4,1.250000
04Q|LNA,27.000000,5,5.400000,48.000000,5,9.600000,6.000000,5,1.200000
04Q|LNK,2.000000,1,2.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|LNS,30.000000,11,2.727273,88.000000,11,8.000000,11.000000,11,1.000000
04Q|LRM,51.000000,11,4.636364,96.000000,11,8.727273,12.000000,11,1.090909
04Q|LUK,5.000000,3,1.666667,24.000000,3,8.000000,3.000000,3,1.000000
04Q|LWB,3.000000,2,1.500000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|LWM,7.000000,5,1.400000,40.000000,5,8.000000,5.000000,5,1.000000
04Q|LYH,10.000000,3,3.333333,24.000000,3,8.000000,3.000000,3,1.000000
04Q|MA1,10.000000,2,5.000000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|MA2,17.000000,7,2.428571,64.000000,7,9.142857,8.000000,7,1.142857
04Q|MA3,3.000000,1,3.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|MA4,36.000000,9,4.000000,88.000000,9,9.777778,11.000000,9,1.222222
04Q|MA5,10.000000,3,3.333333,24.000000,3,8.000000,3.000000,3,1.000000
04Q|MCN,1.000000,1,1.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|MCO,59.000000,17,3.470588,144.000000,17,8.470588,18.000000,17,1.058824
04Q|MD1,4.000000,3,1.333333,24.000000,3,8.000000,3.000000,3,1.000000
04Q|MD2,5.000000,1,5.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|MD3,2.000000,1,2.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|MD6,2.000000,1,2.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|MDT,16.000000,8,2.000000,64.000000,8,8.000000,8.000000,8,1.000000
04Q|MDW,1.000000,1,1.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|ME1,4.000000,1,4.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|ME2,12.000000,3,4.000000,24.000000,3,8.000000,3.000000,3,1.000000
04Q|ME3,19.000000,4,4.750000,40.000000,4,10.000000,5.000000,4,1.250000
04Q|ME4,1.000000,1,1.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|ME5,13.000000,3,4.333333,24.000000,3,8.000000,3.000000,3,1.000000
04Q|MEM,2.000000,1,2.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|MFV,4.000000,1,4.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|MGR,1.000000,1,1.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|MGW,17.000000,3,5.666667,24.000000,3,8.000000,3.000000,3,1.000000
04Q|MHH,189.000000,37,5.108108,336.000000,37,9.081081,42.000000,37,1.135135
04Q|MHT,15.000000,6,2.500000,48.000000,6,8.000000,6.000000,6,1.000000
04Q|MIA,91.000000,29,3.137931,264.000000,29,9.103448,33.000000,29,1.137931
04Q|MIV,8.000000,2,4.000000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|MJX,1.000000,1,1.000000,8.000000,1,8.000000,1.000000,1,1.000000
