CARRIER|ORIGIN|REGION,PASSENGERS_Sum,PASSENGERS_Count,PASSENGERS_Mean,SEATS_Sum,SEATS_Count,SEATS_Mean,DEPARTURES_PERFORMED_Sum,DEPARTURES_PERFORMED_Count,DEPARTURES_PERFORMED_Mean
GCA|LAR|D,0.000000,1,0.000000,150.000000,1,150.000000,1.000000,1,1.000000
GCA|LAS|D,5691.000000,37,153.810811,12531.000000,37,338.675676,73.000000,37,1.972973
GCA|LAX|D,349.000000,5,69.800000,894.000000,5,178.800000,5.000000,5,1.000000
GCA|LAX|I,0.000000,1,0.000000,0.000000,1,0.000000,1.000000,1,1.000000
GCA|LBB|D,129.000000,5,25.800000,496.000000,5,99.200000,5.000000,5,1.000000
GCA|LCK|D,0.000000,1,0.000000,0.000000,1,0.000000,1.000000,1,1.000000
GCA|LEX|D,276.000000,10,27.600000,1251.000000,10,125.100000,11.000000,10,1.100000
GCA|LFT|D,179.000000,2,89.500000,390.000000,2,195.000000,2.000000,2,1.000000
GCA|LIM|I,160.000000,4,40.000000,1680.000000,4,420.000000,10.000000,4,2.500000
GCA|LIT|D,0.000000,1,0.000000,174.000000,1,174.000000,1.000000,1,1.000000
GCA|LNK|D,143.000000,5,28.600000,649.000000,5,129.800000,5.000000,5,1.000000
GCA|LRD|D,983.000000,49,20.061224,15271.000000,49,311.653061,130.000000,49,2.653061
GCA|LRD|I,17102.000000,26,657.769231,19720.000000,26,758.461538,118.000000,26,4.538462
GCA|LRM|I,109.000000,2,54.500000,723.000000,2,361.500000,4.000000,2,2.000000
GCA|LSE|D,0.000000,2,0.000000,282.000000,2,141.000000,2.000000,2,1.000000
GCA|LUK|D,98.000000,3,32.666667,188.000000,3,62.666667,3.000000,3,1.000000
GCA|MBJ|I,318.000000,4,79.500000,813.000000,4,203.250000,5.000000,4,1.250000
GCA|MCI|D,4845.000000,35,138.428571,8247.000000,35,235.628571,54.000000,35,1.542857
GCA|MCO|D,1556.000000,14,111.142857,3835.000000,14,273.928571,23.000000,14,1.642857
GCA|MDE|I,262.000000,2,131.000000,792.000000,2,396.000000,6.000000,2,3.000000
GCA|MDH|D,144.000000,1,144.000000,180.000000,1,180.000000,1.000000,1,1.000000
GCA|MDT|D,6370.000000,18,353.888889,8516.000000,18,473.111111,49.000000,18,2.722222
GCA|MDW|D,90.000000,4,22.500000,480.000000,4,120.000000,4.000000,4,1.000000
GCA|MDW|I,125.000000,1,125.000000,180.000000,1,180.000000,1.000000,1,1.000000
GCA|MEC|I,51.000000,3,17.000000,510.000000,3,170.000000,3.000000,3,1.000000
GCA|MEM|D,190.000000,5,38.000000,578.000000,5,115.600000,5.000000,5,1.000000
GCA|MEX|I,1244.000000,16,77.750000,12774.000000,16,798.375000,77.000000,16,4.812500
GCA|MFE|D,389.000000,45,8.644444,19413.000000,45,431.400000,111.000000,45,2.466667
GCA|MFE|I,1957.000000,16,122.312500,3798.000000,16,237.375000,22.000000,16,1.375000
GCA|MGA|I,153.000000,9,17.000000,1680.000000,9,186.666667,14.000000,9,1.555556
GCA|MGE|D,0.000000,1,0.000000,174.000000,1,174.000000,1.000000,1,1.000000
GCA|MGM|D,0.000000,1,0.000000,174.000000,1,174.000000,1.000000,1,1.000000
GCA|MHK|D,358.000000,17,21.058824,1554.000000,17,91.411765,17.000000,17,1.000000
GCA|MHK|I,108.000000,1,108.000000,150.000000,1,150.000000,1.000000,1,1.000000
GCA|MHR|D,100.000000,1,100.000000,174.000000,1,174.000000,1.000000,1,1.000000
GCA|MHV|D,0.000000,1,0.000000,150.000000,1,150.000000,1.000000,1,1.000000
GCA|MIA|D,7027.000000,205,34.278049,44167.000000,205,215.448780,319.000000,205,1.556098
GCA|MIA|I,50665.000000,222,228.220721,108429.000000,222,488.418919,1129.000000,222,5.085586
GCA|MIB|D,145.000000,1,145.000000,150.000000,1,150.000000,1.000000,1,1.000000
GCA|MID|I,0.000000,1,0.000000,0.000000,1,0.000000,1.000000,1,1.000000
GCA|MKC|D,169.000000,3,56.333333,398.000000,3,132.666667,3.000000,3,1.000000
GCA|MKE|D,992.000000,32,31.000000,3176.000000,32,99.250000,35.000000,32,1.093750
GCA|MKE|I,207.000000,2,103.500000,330.000000,2,165.000000,2.000000,2,1.000000
GCA|MSN|D,329.000000,12,27.416667,1486.000000,12,123.833333,12.000000,12,1.000000
GCA|MSO|D,299.000000,4,74.750000,660.000000,4,165.000000,4.000000,4,1.000000
GCA|MSP|D,1382.000000,28,49.357143,5025.000000,28,179.464286,30.000000,28,1.071429
GCA|MSY|D,59.000000,7,8.428571,1053.000000,7,150.428571,7.000000,7,1.000000
GCA|MSY|I,179.000000,1,179.000000,210.000000,1,210.000000,1.000000,1,1.000000
GCA|MTY|I,47.000000,2,23.500000,240.000000,2,120.000000,2.000000,2,1.000000
GCA|MZJ|D,0.000000,1,0.000000,360.000000,1,360.000000,2.000000,1,2.000000
GCA|NAS|I,1476.000000,22,67.090909,4465.000000,22,202.954545,26.000000,22,1.181818
GCA|NBW|I,583.000000,9,64.777778,1730.000000,9,192.222222,12.000000,9,1.333333
GCA|NJK|D,80.000000,1,80.000000,132.000000,1,132.000000,1.000000,1,1.000000
GCA|NKX|D,88.000000,1,88.000000,132.000000,1,132.000000,1.000000,1,1.000000
GCA|OAJ|D,114.000000,1,114.000000,136.000000,1,136.000000,2.000000,1,2.000000
GCA|OAK|D,57.000000,2,28.500000,300.000000,2,150.000000,2.000000,2,1.000000
GCA|OKC|D,417.000000,8,52.125000,1180.000000,8,147.500000,8.000000,8,1.000000
GCA|OMA|D,1837.000000,20,91.850000,3675.000000,20,183.750000,22.000000,20,1.100000
GCA|ONT|D,101.000000,3,33.666667,150.000000,3,50.000000,7.000000,3,2.333333
GCA|ORD|D,161.000000,5,32.200000,570.000000,5,114.000000,6.000000,5,1.200000
GCA|ORD|I,0.000000,3,0.000000,0.000000,3,0.000000,41.000000,3,13.666667
GCA|ORF|D,81.000000,5,16.200000,753.000000,5,150.600000,5.000000,5,1.000000
GCA|ORF|I,281.000000,2,140.500000,363.000000,2,181.500000,2.000000,2,1.000000
GCA|PAH|D,129.000000,2,64.500000,360.000000,2,180.000000,2.000000,2,1.000000
GCA|PAP|I,44.000000,8,5.500000,363.000000,8,45.375000,19.000000,8,2.375000
GCA|PBI|D,135.000000,4,33.750000,750.000000,4,187.500000,4.000000,4,1.000000
GCA|PDX|D,358.000000,3,119.333333,660.000000,3,220.000000,4.000000,3,1.333333
GCA|PGV|D,65.000000,2,32.500000,390.000000,2,195.000000,2.000000,2,1.000000
GCA|PHF|D,150.000000,1,150.000000,150.000000,1,150.000000,1.000000,1,1.000000
GCA|PHL|D,101.000000,3,33.666667,368.000000,3,122.666667,3.000000,3,1.000000
GCA|PHX|D,523.000000,5,104.600000,843.000000,5,168.600000,5.000000,5,1.000000
GCA|PIB|D,35.000000,2,17.500000,204.000000,2,102.000000,3.000000,2,1.500000
GCA|PIT|D,198.000000,8,24.750000,1162.000000,8,145.250000,10.000000,8,1.250000
GCA|POS|I,0.000000,1,0.000000,0.000000,1,0.000000,1.000000,1,1.000000
GCA|PSM|D,0.000000,2,0.000000,200.000000,2,100.000000,2.000000,2,1.000000
GCA|PSM|I,64.000000,1,64.000000,68.000000,1,68.000000,1.000000,1,1.000000
GCA|PSP|D,0.000000,1,0.000000,132.000000,1,132.000000,1.000000,1,1.000000
GCA|PTY|I,273.000000,12,22.750000,3072.000000,12,256.000000,17.000000,12,1.416667
GCA|PUJ|I,13828.000000,24,576.166667,21006.000000,24,875.250000,131.000000,24,5.458333
GCA|PVD|D,108.000000,5,21.600000,545.000000,5,109.000000,5.000000,5,1.000000
GCA|PVD|I,146.000000,1,146.000000,183.000000,1,183.000000,1.000000,1,1.000000
GCA|PVR|I,142.000000,2,71.000000,360.000000,2,180.000000,2.000000,2,1.000000
GCA|PVU|D,82.000000,4,20.500000,488.000000,4,122.000000,4.000000,4,1.000000
GCA|PVU|I,58.000000,1,58.000000,68.000000,1,68.000000,1.000000,1,1.000000
GCA|RDU|D,1083.000000,43,25.186047,5162.000000,43,120.046512,53.000000,43,1.232558
GCA|RDU|I,233.000000,4,58.250000,878.000000,4,219.500000,5.000000,4,1.250000
GCA|RIC|D,6070.000000,24,252.916667,10426.000000,24,434.416667,62.000000,24,2.583333
GCA|RIV|D,0.000000,3,0.000000,498.000000,3,166.000000,3.000000,3,1.000000
GCA|ROA|D,236.000000,8,29.500000,848.000000,8,106.000000,8.000000,8,1.000000
GCA|RSW|D,0.000000,2,0.000000,180.000000,2,90.000000,2.000000,2,1.000000
GCA|SAL|I,2025.000000,40,50.625000,18174.000000,40,454.350000,108.000000,40,2.700000
GCA|SAN|D,18287.000000,83,220.325301,43257.000000,83,521.168675,248.000000,83,2.987952
GCA|SAP|I,3683.000000,58,63.500000,40752.000000,58,702.620690,247.000000,58,4.258621
GCA|SAT|D,686.000000,21,32.666667,4629.000000,21,220.428571,31.000000,21,1.476190
GCA|SAT|I,152.000000,1,152.000000,174.000000,1,174.000000,1.000000,1,1.000000
GCA|SAV|D,88.000000,2,44.000000,354.000000,2,177.000000,2.000000,2,1.000000
GCA|SBA|D,29.000000,1,29.000000,68.000000,1,68.000000,1.000000,1,1.000000
GCA|SBN|D,243.000000,10,24.300000,1380.000000,10,138.000000,11.000000,10,1.100000
GCA|SCE|D,343.000000,13,26.384615,1729.000000,13,133.000000,13.000000,13,1.000000
GCA|SDF|D,169.000000,9,18.777778,1205.000000,9,133.888889,9.000000,9,1.000000
GCA|SDQ|I,1870.000000,26,71.923077,6443.000000,26,247.807692,49.000000,26,1.884615
GCA|SFB|D,266.000000,20,13.300000,2641.000000,20,132.050000,20.000000,20,1.000000
GCA|SFJ|I,85.000000,1,85.000000,210.000000,1,210.000000,1.000000,1,1.000000
GCA|SFO|D,0.000000,2,0.000000,150.000000,2,75.000000,2.000000,2,1.000000
GCA|SHV|D,100.000000,1,100.000000,183.000000,1,183.000000,1.000000,1,1.000000
GCA|SJC|D,0.000000,2,0.000000,0.000000,2,0.000000,11.000000,2,5.500000
GCA|SJO|I,297.000000,6,49.500000,768.000000,6,128.000000,14.000000,6,2.333333
GCA|SJU|I,6003.000000,52,115.442308,13758.000000,52,264.576923,235.000000,52,4.519231
GCA|SKA|D,66.000000,1,66.000000,150.000000,1,150.000000,1.000000,1,1.000000
GCA|SKB|I,289.000000,3,96.333333,624.000000,3,208.000000,4.000000,3,1.333333
GCA|SKF|D,81.000000,1,81.000000,150.000000,1,150.000000,1.000000,1,1.000000
GCA|SLC|D,145.000000,3,48.333333,504.000000,3,168.000000,3.000000,3,1.000000
GCA|SMF|D,465.000000,5,93.000000,900.000000,5,180.000000,5.000000,5,1.000000
GCA|SMX|D,62.000000,1,62.000000,150.000000,1,150.000000,1.000000,1,1.000000
GCA|SNU|I,6237.000000,31,201.193548,16693.000000,31,538.483871,98.000000,31,3.161290
GCA|SSC|D,0.000000,1,0.000000,132.000000,1,132.000000,1.000000,1,1.000000
GCA|STL|D,0.000000,2,0.000000,132.000000,2,66.000000,2.000000,2,1.000000
GCA|STL|I,48.000000,1,48.000000,132.000000,1,132.000000,1.000000,1,1.000000
GCA|STT|I,353.000000,7,50.428571,1093.000000,7,156.142857,8.000000,7,1.142857
GCA|STX|I,52.000000,1,52.000000,60.000000,1,60.000000,1.000000,1,1.000000
GCA|SUX|D,0.000000,1,0.000000,180.000000,1,180.000000,1.000000,1,1.000000
GCA|SVD|I,325.000000,4,81.250000,1152.000000,4,288.000000,7.000000,4,1.750000
GCA|SVN|D,95.000000,1,95.000000,174.000000,1,174.000000,1.000000,1,1.000000
GCA|SWO|D,42.000000,2,21.000000,210.000000,2,105.000000,2.000000,2,1.000000
GCA|SXM|I,65.000000,4,16.250000,319.000000,4,79.750000,4.000000,4,1.000000
GCA|SYR|D,556.000000,25,22.240000,3886.000000,25,155.440000,29.000000,25,1.160000
GCA|TAM|I,0.000000,1,0.000000,0.000000,1,0.000000,1.000000,1,1.000000
GCA|TCL|D,197.000000,11,17.909091,1811.000000,11,164.636364,11.000000,11,1.000000
GCA|TCS|D,0.000000,1,0.000000,180.000000,1,180.000000,1.000000,1,1.000000
GCA|TLH|D,778.000000,29,26.827586,4328.000000,29,149.241379,39.000000,29,1.344828
GCA|TOL|D,5139.000000,25,205.560000,9504.000000,25,380.160000,69.000000,25,2.760000
GCA|TPA|D,313.000000,7,44.714286,1383.000000,7,197.571429,8.000000,7,1.142857
GCA|TPA|I,7331.000000,44,166.613636,24840.000000,44,564.545455,129.000000,44,2.931818
GCA|TUL|D,152.000000,2,76.000000,180.000000,2,90.000000,2.000000,2,1.000000
GCA|TUS|D,5703.000000,38,150.078947,14935.000000,38,393.026316,87.000000,38,2.289474
GCA|TUS|I,2997.000000,9,333.000000,3399.000000,9,377.666667,20.000000,9,2.222222
GCA|USA|D,285.000000,3,95.000000,423.000000,3,141.000000,3.000000,3,1.000000
GCA|USA|I,30.000000,1,30.000000,60.000000,1,60.000000,1.000000,1,1.000000
GCA|VCV|D,2531.000000,25,101.240000,6261.000000,25,250.440000,39.000000,25,1.560000
GCA|VOK|D,0.000000,1,0.000000,132.000000,1,132.000000,1.000000,1,1.000000
GCA|WRI|D,0.000000,1,0.000000,150.000000,1,150.000000,1.000000,1,1.000000
GCA|XNA|D,155.000000,2,77.500000,366.000000,2,183.000000,2.000000,2,1.000000
GCA|XWA|D,257.000000,2,128.500000,360.000000,2,180.000000,2.000000,2,1.000000
GCA|YEG|I,130.000000,1,130.000000,150.000000,1,150.000000,1.000000,1,1.000000
GCA|YIP|D,169.000000,8,21.125000,1001.000000,8,125.125000,8.000000,8,1.000000
GCA|YKM|D,115.000000,2,57.500000,354.000000,2,177.000000,2.000000,2,1.000000
GCA|YQX|I,0.000000,1,0.000000,68.000000,1,68.000000,1.000000,1,1.000000
GCA|YUL|I,271.000000,3,90.333333,956.000000,3,318.666667,5.000000,3,1.666667
GCA|YUM|D,2465.000000,16,154.062500,6927.000000,16,432.937500,41.000000,16,2.562500
GCA|YUM|I,3793.000000,6,632.166667,4176.000000,6,696.000000,24.000000,6,4.000000
GCA|YXU|I,124.000000,1,124.000000,180.000000,1,180.000000,1.000000,1,1.000000
GCA|YYC|I,166.000000,1,166.000000,180.000000,1,180.000000,1.000000,1,1.000000
GCA|YYR|I,99.000000,4,24.750000,684.000000,4,171.000000,5.000000,4,1.250000
GCA|YYZ|I,438.000000,6,73.000000,2094.000000,6,349.000000,11.000000,6,1.833333
GCA|ZIH|I,0.000000,1,0.000000,180.000000,1,180.000000,1.000000,1,1.000000
GCH|BLD|D,0.000000,11,0.000000,3264.000000,11,296.727273,544.000000,11,49.454545
GCQ|AGP|I,6.000000,1,6.000000,14.000000,1,14.000000,1.000000,1,1.000000
GCQ|AMS|I,5.000000,2,2.500000,28.000000,2,14.000000,2.000000,2,1.000000
GCQ|AXA|I,0.000000,1,0.000000,14.000000,1,14.000000,1.000000,1,1.000000
GCQ|AZA|I,12.000000,2,6.000000,28.000000,2,14.000000,2.000000,2,1.000000
GCQ|BED|I,5.000000,1,5.000000,14.000000,1,14.000000,1.000000,1,1.000000
GCQ|BFI|I,10.000000,1,10.000000,14.000000,1,14.000000,1.000000,1,1.000000
GCQ|BQH|I,2.000000,1,2.000000,14.000000,1,14.000000,1.000000,1,1.000000
GCQ|CIA|I,1.000000,1,1.000000,14.000000,1,14.000000,1.000000,1,1.000000
GCQ|CLE|I,4.000000,1,4.000000,14.000000,1,14.000000,1.000000,1,1.000000
GCQ|COU|I,3.000000,2,1.500000,28.000000,2,14.000000,2.000000,2,1.000000
GCQ|DAL|I,7.000000,1,7.000000,14.000000,1,14.000000,1.000000,1,1.000000
GCQ|EDI|I,7.000000,2,3.500000,28.000000,2,14.000000,2.000000,2,1.000000
GCQ|FAB|I,8.000000,1,8.000000,14.000000,1,14.000000,1.000000,1,1.000000
GCQ|FLL|I,0.000000,1,0.000000,14.000000,1,14.000000,1.000000,1,1.000000
GCQ|FRG|I,4.000000,1,4.000000,14.000000,1,14.000000,1.000000,1,1.000000
GCQ|FTY|I,65.000000,14,4.642857,192.000000,14,13.714286,14.000000,14,1.000000
GCQ|FXE|I,0.000000,1,0.000000,14.000000,1,14.000000,1.000000,1,1.000000
GCQ|GCM|I,13.000000,4,3.250000,56.000000,4,14.000000,4.000000,4,1.000000
GCQ|GDN|I,4.000000,1,4.000000,14.000000,1,14.000000,1.000000,1,1.000000
GCQ|GON|I,0.000000,1,0.000000,10.000000,1,10.000000,1.000000,1,1.000000
GCQ|GUA|I,0.000000,1,0.000000,14.000000,1,14.000000,1.000000,1,1.000000
GCQ|HAV|I,0.000000,1,0.000000,14.000000,1,14.000000,1.000000,1,1.000000
GCQ|HOU|I,0.000000,1,0.000000,14.000000,1,14.000000,1.000000,1,1.000000
GCQ|IAD|I,0.000000,1,0.000000,14.000000,1,14.000000,1.000000,1,1.000000
GCQ|JTR|I,10.000000,1,10.000000,14.000000,1,14.000000,1.000000,1,1.000000
GCQ|KLU|I,85.000000,13,6.538462,182.000000,13,14.000000,13.000000,13,1.000000
GCQ|LAS|I,11.000000,2,5.500000,28.000000,2,14.000000,2.000000,2,1.000000
GCQ|LAX|I,1.000000,1,1.000000,14.000000,1,14.000000,1.000000,1,1.000000
GCQ|LBG|I,17.000000,3,5.666667,56.000000,3,18.666667,4.000000,3,1.333333
GCQ|LPA|I,0.000000,1,0.000000,14.000000,1,14.000000,1.000000,1,1.000000
GCQ|LPL|I,2.000000,1,2.000000,14.000000,1,14.000000,1.000000,1,1.000000
GCQ|LRD|I,0.000000,1,0.000000,14.000000,1,14.000000,1.000000,1,1.000000
GCQ|LTN|I,7.000000,2,3.500000,28.000000,2,14.000000,2.000000,2,1.000000
GCQ|MAD|I,3.000000,1,3.000000,14.000000,1,14.000000,1.000000,1,1.000000
GCQ|MAN|I,2.000000,1,2.000000,14.000000,1,14.000000,1.000000,1,1.000000
GCQ|MIA|I,11.000000,3,3.666667,42.000000,3,14.000000,3.000000,3,1.000000
GCQ|MSY|I,2.000000,1,2.000000,14.000000,1,14.000000,1.000000,1,1.000000
GCQ|NAS|I,0.000000,1,0.000000,14.000000,1,14.000000,1.000000,1,1.000000
GCQ|NCE|I,4.000000,2,2.000000,28.000000,2,14.000000,2.000000,2,1.000000
GCQ|OLB|I,2.000000,1,2.000000,14.000000,1,14.000000,1.000000,1,1.000000
GCQ|OPF|I,13.000000,4,3.250000,56.000000,4,14.000000,4.000000,4,1.000000
GCQ|ORF|I,0.000000,1,0.000000,14.000000,1,14.000000,1.000000,1,1.000000
GCQ|ORL|I,12.000000,1,12.000000,28.000000,1,28.000000,2.000000,1,2.000000
GCQ|PSA|I,7.000000,1,7.000000,14.000000,1,14.000000,1.000000,1,1.000000
GCQ|PWK|I,8.000000,1,8.000000,14.000000,1,14.000000,1.000000,1,1.000000
GCQ|RSW|I,1.000000,1,1.000000,14.000000,1,14.000000,1.000000,1,1.000000
GCQ|SFJ|I,0.000000,1,0.000000,10.000000,1,10.000000,1.000000,1,1.000000
GCQ|SFO|I,12.000000,3,4.000000,42.000000,3,14.000000,3.000000,3,1.000000
GCQ|SLP|I,0.000000,1,0.000000,14.000000,1,14.000000,1.000000,1,1.000000
GCQ|SNN|I,2.000000,1,2.000000,10.000000,1,10.000000,1.000000,1,1.000000
GCQ|TEB|I,0.000000,1,0.000000,14.000000,1,14.000000,1.000000,1,1.000000
GCQ|TPA|I,2.000000,1,2.000000,14.000000,1,14.000000,1.000000,1,1.000000
GCQ|TTN|I,1.000000,1,1.000000,14.000000,1,14.000000,1.000000,1,1.000000
GCQ|VIE|I,2.000000,1,2.000000,14.000000,1,14.000000,1.000000,1,1.000000
GCQ|YYZ|I,2.000000,2,1.000000,28.000000,2,14.000000,2.000000,2,1.000000
GEQ|ACK|I,1.000000,1,1.000000,13.000000,1,13.000000,1.000000,1,1.000000
GEQ|ALB|I,0.000000,1,0.000000,13.000000,1,13.000000,1.000000,1,1.000000
GEQ|BCN|I,3.000000,2,1.500000,25.000000,2,12.500000,2.000000,2,1.000000
GEQ|BED|I,2.000000,1,2.000000,12.000000,1,12.000000,1.000000,1,1.000000
GEQ|BFI|I,5.000000,1,5.000000,13.000000,1,13.000000,1.000000,1,1.000000
GEQ|BGR|I,16.000000,6,2.666667,68.000000,6,11.333333,6.000000,6,1.000000
GEQ|BNA|I,2.000000,1,2.000000,13.000000,1,13.000000,1.000000,1,1.000000
GEQ|BOS|I,31.000000,6,5.166667,60.000000,6,10.000000,6.000000,6,1.000000
GEQ|CHA|I,15.000000,3,5.000000,42.000000,3,14.000000,3.000000,3,1.000000
GEQ|CLE|I,5.000000,1,5.000000,9.000000,1,9.000000,1.000000,1,1.000000
GEQ|CNF|I,0.000000,1,0.000000,15.000000,1,15.000000,1.000000,1,1.000000
GEQ|COR|I,4.000000,1,4.000000,10.000000,1,10.000000,1.000000,1,1.000000
GEQ|CQM|I,2.000000,1,2.000000,17.000000,1,17.000000,1.000000,1,1.000000
GEQ|CRW|I,8.000000,1,8.000000,11.000000,1,11.000000,1.000000,1,1.000000
GEQ|DTW|I,4.000000,1,4.000000,15.000000,1,15.000000,1.000000,1,1.000000
GEQ|EWR|I,18.000000,5,3.600000,44.000000,5,8.800000,5.000000,5,1.000000
GEQ|FAB|I,4.000000,1,4.000000,9.000000,1,9.000000,1.000000,1,1.000000
GEQ|FNC|I,4.000000,1,4.000000,5.000000,1,5.000000,1.000000,1,1.000000
GEQ|GLA|I,4.000000,1,4.000000,12.000000,1,12.000000,1.000000,1,1.000000
GEQ|GSP|I,19.000000,3,6.333333,38.000000,3,12.666667,3.000000,3,1.000000
GEQ|IAD|I,11.000000,5,2.200000,55.000000,5,11.000000,5.000000,5,1.000000
GEQ|IQT|I,2.000000,1,2.000000,7.000000,1,7.000000,1.000000,1,1.000000
GEQ|JFK|I,2.000000,1,2.000000,12.000000,1,12.000000,1.000000,1,1.000000
GEQ|KEF|I,1.000000,1,1.000000,7.000000,1,7.000000,1.000000,1,1.000000
GEQ|LAS|I,4.000000,1,4.000000,10.000000,1,10.000000,1.000000,1,1.000000
GEQ|LCQ|I,5.000000,1,5.000000,9.000000,1,9.000000,1.000000,1,1.000000
GEQ|LEX|I,2.000000,1,2.000000,11.000000,1,11.000000,1.000000,1,1.000000
GEQ|LRM|I,1.000000,1,1.000000,12.000000,1,12.000000,1.000000,1,1.000000
GEQ|LTN|I,7.000000,2,3.500000,24.000000,2,12.000000,2.000000,2,1.000000
GEQ|MAD|I,97.000000,21,4.619048,264.000000,21,12.571429,22.000000,21,1.047619
GEQ|MAS|I,2.000000,1,2.000000,14.000000,1,14.000000,1.000000,1,1.000000
GEQ|MDW|I,14.000000,3,4.666667,41.000000,3,13.666667,3.000000,3,1.000000
GEQ|MIA|I,0.000000,1,0.000000,9.000000,1,9.000000,1.000000,1,1.000000
GEQ|MUC|I,5.000000,1,5.000000,9.000000,1,9.000000,1.000000,1,1.000000
GEQ|NAS|I,4.000000,3,1.333333,40.000000,3,13.333333,3.000000,3,1.000000
GEQ|NHT|I,1.000000,1,1.000000,14.000000,1,14.000000,1.000000,1,1.000000
GEQ|NUQ|I,1.000000,1,1.000000,13.000000,1,13.000000,1.000000,1,1.000000
GEQ|OPF|I,3.000000,4,0.750000,51.000000,4,12.750000,4.000000,4,1.000000
GEQ|PAD|I,1.000000,1,1.000000,18.000000,1,18.000000,1.000000,1,1.000000
GEQ|PBI|I,0.000000,1,0.000000,13.000000,1,13.000000,1.000000,1,1.000000
GEQ|PDK|I,1.000000,1,1.000000,14.000000,1,14.000000,1.000000,1,1.000000
GEQ|PMI|I,23.000000,3,7.666667,28.000000,3,9.333333,4.000000,3,1.333333
GEQ|PSM|I,16.000000,2,8.000000,22.000000,2,11.000000,2.000000,2,1.000000
GEQ|RDU|I,1.000000,1,1.000000,13.000000,1,13.000000,1.000000,1,1.000000
GEQ|RWI|I,5.000000,1,5.000000,9.000000,1,9.000000,1.000000,1,1.000000
GEQ|SAV|I,3.000000,1,3.000000,10.000000,1,10.000000,1.000000,1,1.000000
GEQ|SBA|I,1.000000,1,1.000000,13.000000,1,13.000000,1.000000,1,1.000000
GEQ|SCQ|I,23.000000,4,5.750000,51.000000,4,12.750000,5.000000,4,1.250000
GEQ|SDR|I,2.000000,1,2.000000,13.000000,1,13.000000,1.000000,1,1.000000
GEQ|SFO|I,4.000000,2,2.000000,25.000000,2,12.500000,2.000000,2,1.000000
GEQ|SJC|I,8.000000,4,2.000000,54.000000,4,13.500000,4.000000,4,1.000000
GEQ|SMA|I,3.000000,1,3.000000,7.000000,1,7.000000,1.000000,1,1.000000
GEQ|SUN|I,6.000000,3,2.000000,38.000000,3,12.666667,3.000000,3,1.000000
GEQ|SWF|I,4.000000,1,4.000000,15.000000,1,15.000000,1.000000,1,1.000000
GEQ|TEB|I,79.000000,16,4.937500,186.000000,16,11.625000,18.000000,16,1.125000
GEQ|TPA|I,0.000000,1,0.000000,14.000000,1,14.000000,1.000000,1,1.000000
GEQ|TWF|I,1.000000,2,0.500000,29.000000,2,14.500000,2.000000,2,1.000000
GEQ|VNY|I,2.000000,1,2.000000,17.000000,1,17.000000,1.000000,1,1.000000
GEQ|YYZ|I,2.000000,1,2.000000,13.000000,1,13.000000,1.000000,1,1.000000
GEQ|ZAZ|I,6.000000,3,2.000000,37.000000,3,12.333333,3.000000,3,1.000000
GEQ|ZRH|I,2.000000,1,2.000000,12.000000,1,12.000000,1.000000,1,1.000000
GFQ|ABQ|D,0.000000,1,0.000000,0.000000,1,0.000000,1.000000,1,1.000000
GFQ|AFW|D,0.000000,8,0.000000,0.000000,8,0.000000,8.000000,8,1.000000
GFQ|ANB|D,0.000000,4,0.000000,0.000000,4,0.000000,4.000000,4,1.000000
GFQ|ATL|D,0.000000,1,0.000000,0.000000,1,0.000000,1.000000,1,1.000000
GFQ|BFF|D,0.000000,1,0.000000,0.000000,1,0.000000,1.000000,1,1.000000
GFQ|BIL|D,0.000000,1,0.000000,0.000000,1,0.000000,1.000000,1,1.000000
GFQ|BMI|D,0.000000,2,0.000000,0.000000,2,0.000000,4.000000,2,2.000000
GFQ|BQN|I,0.000000,1,0.000000,0.000000,1,0.000000,4.000000,1,4.000000
GFQ|BTL|D,0.000000,1,0.000000,0.000000,1,0.000000,1.000000,1,1.000000
GFQ|BTV|D,0.000000,1,0.000000,0.000000,1,0.000000,1.000000,1,1.000000
GFQ|BUF|D,0.000000,2,0.000000,0.000000,2,0.000000,2.000000,2,1.000000
GFQ|CAK|D,0.000000,1,0.000000,0.000000,1,0.000000,1.000000,1,1.000000
GFQ|CHA|D,0.000000,1,0.000000,0.000000,1,0.000000,1.000000,1,1.000000
GFQ|CMH|D,0.000000,1,0.000000,0.000000,1,0.000000,1.000000,1,1.000000
GFQ|CNO|D,0.000000,2,0.000000,0.000000,2,0.000000,2.000000,2,1.000000
GFQ|CRW|D,0.000000,3,0.000000,0.000000,3,0.000000,3.000000,3,1.000000
GFQ|CUU|I,0.000000,12,0.000000,0.000000,12,0.000000,242.000000,12,20.166667
GFQ|CVG|D,0.000000,1,0.000000,0.000000,1,0.000000,1.000000,1,1.000000
GFQ|CYB|I,0.000000,3,0.000000,0.000000,3,0.000000,4.000000,3,1.333333
GFQ|DAL|D,0.000000,2,0.000000,0.000000,2,0.000000,2.000000,2,1.000000
GFQ|DAY|D,0.000000,4,0.000000,0.000000,4,0.000000,5.000000,4,1.250000
GFQ|DCU|D,0.000000,2,0.000000,0.000000,2,0.000000,2.000000,2,1.000000
GFQ|DHN|D,0.000000,1,0.000000,0.000000,1,0.000000,1.000000,1,1.000000
GFQ|DRT|D,0.000000,12,0.000000,0.000000,12,0.000000,18.000000,12,1.500000
