CARRIER|ORIGIN|REGION,PASSENGERS_Sum,PASSENGERS_Count,PASSENGERS_Mean,SEATS_Sum,SEATS_Count,SEATS_Mean,DEPARTURES_PERFORMED_Sum,DEPARTURES_PERFORMED_Count,DEPARTURES_PERFORMED_Mean
04Q|DHN|D,1.000000,1,1.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|DKK|D,9.000000,3,3.000000,24.000000,3,8.000000,3.000000,3,1.000000
04Q|DNL|D,8.000000,2,4.000000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|DOM|D,14.000000,3,4.666667,24.000000,3,8.000000,3.000000,3,1.000000
04Q|DOV|D,8.000000,1,8.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|DQN|D,5.000000,1,5.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|DRO|D,2.000000,1,2.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|DSI|D,1.000000,1,1.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|DXR|D,57.000000,12,4.750000,128.000000,12,10.666667,16.000000,12,1.333333
04Q|DYL|D,8.000000,3,2.666667,24.000000,3,8.000000,3.000000,3,1.000000
04Q|ECP|D,13.000000,2,6.500000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|EEN|D,18.000000,4,4.500000,32.000000,4,8.000000,4.000000,4,1.000000
04Q|EFK|D,8.000000,2,4.000000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|EIS|D,293.000000,18,16.277778,424.000000,18,23.555556,53.000000,18,2.944444
04Q|ELH|D,317.000000,41,7.731707,560.000000,41,13.658537,70.000000,41,1.707317
04Q|ELM|D,15.000000,4,3.750000,32.000000,4,8.000000,4.000000,4,1.000000
04Q|ENW|D,1.000000,1,1.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|ERI|D,32.000000,10,3.200000,80.000000,10,8.000000,10.000000,10,1.000000
04Q|ESN|D,30.000000,6,5.000000,64.000000,6,10.666667,8.000000,6,1.333333
04Q|EWB|D,14.000000,5,2.800000,40.000000,5,8.000000,5.000000,5,1.000000
04Q|EWR|D,115.000000,29,3.965517,280.000000,29,9.655172,35.000000,29,1.206897
04Q|EYW|D,140.000000,37,3.783784,328.000000,37,8.864865,41.000000,37,1.108108
04Q|FAR|D,3.000000,1,3.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|FCM|D,2.000000,1,2.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|FDK|D,3.000000,2,1.500000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|FID|D,165.000000,22,7.500000,272.000000,22,12.363636,34.000000,22,1.545455
04Q|FL4|D,5.000000,1,5.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|FL7|D,2.000000,2,1.000000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|FLL|D,110.000000,22,5.000000,208.000000,22,9.454545,26.000000,22,1.181818
04Q|FME|D,4.000000,2,2.000000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|FMY|D,14.000000,5,2.800000,40.000000,5,8.000000,5.000000,5,1.000000
04Q|FOK|D,254.000000,64,3.968750,680.000000,64,10.625000,85.000000,64,1.328125
04Q|FPO|D,24.000000,7,3.428571,56.000000,7,8.000000,7.000000,7,1.000000
04Q|FPR|D,28.000000,8,3.500000,72.000000,8,9.000000,9.000000,8,1.125000
04Q|FPY|D,1.000000,1,1.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|FRG|D,174.000000,35,4.971429,344.000000,35,9.828571,43.000000,35,1.228571
04Q|FRY|D,7.000000,2,3.500000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|FXE|D,117.000000,28,4.178571,256.000000,28,9.142857,32.000000,28,1.142857
04Q|GAI|D,32.000000,9,3.555556,80.000000,9,8.888889,10.000000,9,1.111111
04Q|GBR|D,23.000000,7,3.285714,56.000000,7,8.000000,7.000000,7,1.000000
04Q|GED|D,21.000000,5,4.200000,56.000000,5,11.200000,7.000000,5,1.400000
04Q|GFL|D,55.000000,13,4.230769,120.000000,13,9.230769,15.000000,13,1.153846
04Q|GGT|D,16.000000,2,8.000000,24.000000,2,12.000000,3.000000,2,1.500000
04Q|GHB|D,10.000000,4,2.500000,32.000000,4,8.000000,4.000000,4,1.000000
04Q|GHC|D,18.000000,4,4.500000,32.000000,4,8.000000,4.000000,4,1.000000
04Q|GND|D,8.000000,1,8.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|GNV|D,23.000000,4,5.750000,40.000000,4,10.000000,5.000000,4,1.250000
04Q|GON|D,53.000000,18,2.944444,144.000000,18,8.000000,18.000000,18,1.000000
04Q|GSO|D,17.000000,3,5.666667,24.000000,3,8.000000,3.000000,3,1.000000
04Q|GTY|D,2.000000,1,2.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|GVQ|D,6.000000,1,6.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|HAO|D,1.000000,1,1.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|HAR|D,9.000000,2,4.500000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|HFD|D,15.000000,6,2.500000,56.000000,6,9.333333,7.000000,6,1.166667
04Q|HGR|D,5.000000,2,2.500000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|HHH|D,6.000000,1,6.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|HIE|D,1.000000,1,1.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|HPN|D,7578.000000,323,23.461300,12592.000000,323,38.984520,1574.000000,323,4.873065
04Q|HTO|D,736.000000,153,4.810458,1944.000000,153,12.705882,243.000000,153,1.588235
04Q|HVN|D,53.000000,19,2.789474,152.000000,19,8.000000,19.000000,19,1.000000
04Q|HYA|D,140.000000,45,3.111111,432.000000,45,9.600000,54.000000,45,1.200000
04Q|HZL|D,5.000000,2,2.500000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|IAD|D,187.000000,54,3.462963,504.000000,54,9.333333,63.000000,54,1.166667
04Q|IAG|D,3.000000,1,3.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|ILG|D,44.000000,12,3.666667,96.000000,12,8.000000,12.000000,12,1.000000
04Q|IND|D,2.000000,2,1.000000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|INT|D,7.000000,3,2.333333,24.000000,3,8.000000,3.000000,3,1.000000
04Q|ISM|D,16.000000,3,5.333333,24.000000,3,8.000000,3.000000,3,1.000000
04Q|ISP|D,28.000000,10,2.800000,80.000000,10,8.000000,10.000000,10,1.000000
04Q|ITH|D,54.000000,20,2.700000,176.000000,20,8.800000,22.000000,20,1.100000
04Q|JAN|D,6.000000,2,3.000000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|JAX|D,28.000000,7,4.000000,56.000000,7,8.000000,7.000000,7,1.000000
04Q|JBQ|D,6.000000,2,3.000000,16.000000,2,8.000000,2.000000,2,1.000000
